x_location	radius	area	Mach	P_P0
0.490000	0.167187	0.087812	2.562325	0.053127
0.491000	0.167525	0.088168	2.566623	0.052774
0.492000	0.167863	0.088524	2.570910	0.052425
0.493000	0.168201	0.088880	2.575188	0.052078
0.494000	0.168538	0.089237	2.579455	0.051735
0.495000	0.168876	0.089595	2.583712	0.051395
0.496000	0.169214	0.089954	2.587959	0.051058
0.497000	0.169552	0.090314	2.592197	0.050724
0.498000	0.169889	0.090674	2.596424	0.050393
0.499000	0.170227	0.091035	2.600642	0.050065
0.500000	0.170565	0.091396	2.604850	0.049741
0.501000	0.170903	0.091759	2.609048	0.049418
0.502000	0.171240	0.092122	2.613237	0.049099
0.503000	0.171578	0.092486	2.617416	0.048783
0.504000	0.171916	0.092850	2.621586	0.048470
0.505000	0.172254	0.093215	2.625747	0.048159
0.506000	0.172591	0.093581	2.629898	0.047851
0.507000	0.172929	0.093948	2.634039	0.047546
0.508000	0.173267	0.094315	2.638172	0.047243
0.509000	0.173605	0.094683	2.642296	0.046944
0.510000	0.173942	0.095052	2.646410	0.046647
0.511000	0.174280	0.095421	2.650515	0.046352
0.512000	0.174618	0.095792	2.654612	0.046060
0.513000	0.174956	0.096163	2.658699	0.045771
0.514000	0.175294	0.096534	2.662777	0.045484
0.515000	0.175631	0.096907	2.666847	0.045199
0.516000	0.175969	0.097280	2.670908	0.044917
0.517000	0.176307	0.097654	2.674960	0.044638
0.518000	0.176645	0.098028	2.679004	0.044360
0.519000	0.176982	0.098403	2.683039	0.044086
0.520000	0.177320	0.098779	2.687065	0.043813
0.521000	0.177658	0.099156	2.691083	0.043543
0.522000	0.177996	0.099533	2.695093	0.043275
0.523000	0.178333	0.099911	2.699094	0.043010
0.524000	0.178671	0.100290	2.703086	0.042747
0.525000	0.179009	0.100670	2.707071	0.042486
0.526000	0.179347	0.101050	2.711047	0.042227
0.527000	0.179684	0.101431	2.715015	0.041970
0.528000	0.180022	0.101813	2.718975	0.041716
0.529000	0.180360	0.102195	2.722926	0.041463
0.530000	0.180698	0.102578	2.726870	0.041213
0.531000	0.181035	0.102962	2.730806	0.040965
0.532000	0.181373	0.103347	2.734733	0.040719
0.533000	0.181711	0.103732	2.738653	0.040475
0.534000	0.182049	0.104118	2.742565	0.040233
0.535000	0.182386	0.104505	2.746469	0.039993
0.536000	0.182724	0.104892	2.750365	0.039754
0.537000	0.183062	0.105280	2.754253	0.039518
0.538000	0.183400	0.105669	2.758134	0.039284
0.539000	0.183738	0.106059	2.762007	0.039052
0.540000	0.184075	0.106449	2.765873	0.038821
0.541000	0.184413	0.106840	2.769730	0.038593
0.542000	0.184751	0.107232	2.773581	0.038366
0.543000	0.185089	0.107624	2.777424	0.038141
0.544000	0.185426	0.108017	2.781259	0.037918
0.545000	0.185764	0.108411	2.785087	0.037697
0.546000	0.186102	0.108806	2.788907	0.037478
0.547000	0.186440	0.109201	2.792721	0.037260
0.548000	0.186777	0.109597	2.796527	0.037044
0.549000	0.187115	0.109994	2.800325	0.036830
0.550000	0.187453	0.110391	2.804117	0.036617
0.551000	0.187791	0.110789	2.807901	0.036407
0.552000	0.188128	0.111188	2.811678	0.036198
0.553000	0.188466	0.111588	2.815448	0.035990
0.554000	0.188804	0.111988	2.819212	0.035784
0.555000	0.189142	0.112389	2.822967	0.035580
